Precio UF,N Habitaciones,Area m2,N Baños,Comuna,Provincia,Amueblado,Gastos Comunes,Área útil,Estacionamiento,m2 terreno,Enlace,Año de construcción,Agua,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Electricidad,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Estado de conservación,Gas Natural,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Nivel,Sólo familias,Sauna,Ascensor
3.300,4,,3,Zapallar,Petorca,,,150,True,,https://www.icasas.cl/propiedad/f1de-8576-196b73b-2b606f197fbf-7dc1,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.016,3,,2,Quillota,Quillota,,,,True,5.000,https://www.icasas.cl/propiedad/ee97-aa51-196b73a-5158e3a31db5-715f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.000,5,255,4,Quilpué,Valparaíso,,,,True,1.528,https://www.icasas.cl/propiedad/c4bf-aa48-1940b99-819219b58c5b-7e5d,,,,,True,True,,True,True,True,True,True,,,,True,,True,True,,,,True,,,,,,True,,True,,,,,,
9.900,6,184,3,Viña del Mar,Valparaíso,,: true,,True,340,https://www.icasas.cl/propiedad/fc72-a43e-786e6ad8-21812461e80b-489f,1.958,True,,,,True,True,True,,True,,True,,,,True,,True,,True,,,True,,True,,,,,,True,,,,,,
3.870,4,,1,Concón,Valparaíso,,,430,True,430,https://www.icasas.cl/propiedad/a1ca-aa06-196b73a-6925a69a75d5-7651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.900,5,140,4,Viña del Mar,Valparaíso,,,,True,197,https://www.icasas.cl/propiedad/6148-aec2-19154a8-9d82bb513d8d-76e9,,True,,,,,,,,True,True,True,,True,,True,1,True,True,,,,True,,True,,,,,,,,,,,,
6.300,4,122,2,Villa Alemana,Valparaíso,,,,True,495,https://www.icasas.cl/propiedad/1064119,1.998,True,,,True,,,,True,,True,True,,,,True,,True,,,,,True,,,True,,,,,,,,,,,
"3.021,23",4,300,2,Cartagena,San Antonio,Sin amueblar,,,True,110,https://www.icasas.cl/propiedad/7590-8d84-19b96e5-8095eb4d265a-71e7,,,,,True,,,True,,,,True,,,,True,,True,True,,,,True,,,True,,,,,,,,,,,
"4.028,31",4,,2,San Felipe,San Felipe de Aconcagua,Sin amueblar,,,,,https://www.icasas.cl/propiedad/ac1-82ca-19bfb5a-444639de0a17-7293,,True,,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,,
16.000,6,500,8,Villa Alemana,Valparaíso,,: true,,True,5.000,https://www.icasas.cl/propiedad/886275,,,,True,True,,,,True,,,,,,True,True,,True,True,,,,True,,,,,,True,,,,,,,,
"14.602,63",5,300,4,Viña del Mar,Valparaíso,,,,True,309,https://www.icasas.cl/propiedad/f273-a1d5-19bfb75-ac9db93723f5-76a3,,,,,,,,True,True,,,,,,True,,,,,,,,True,,,,,True,,,,,,,,,
9.000,4,137,3,Viña del Mar,Valparaíso,,,,True,409,https://www.icasas.cl/propiedad/a240-9960-1956e84-3f292986797d-7ccd,1.980,,,,True,,,,True,,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,
9.300,2,200,1,Casablanca,Valparaíso,Semi-amueblado,: true,,True,20.000,https://www.icasas.cl/propiedad/666c-8ac5-19b3824-8f928d0f590f-708f,2.024,True,,,True,,True,True,True,True,True,True,True,True,,,,True,True,,,,,,True,,,,True,,,True,,,,,
2.245,,10.000,,Olmué,Marga Marga,,,10.000,,,https://www.icasas.cl/propiedad/241d-b6e3-196b73b-552dac1a4dee-7fbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.012,,1.630,,Viña del Mar,Valparaíso,,,1.630,,,https://www.icasas.cl/propiedad/107a-9ce4-196b73b-f9ee39c7eae3-7aa7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.500,,,,Puchuncaví,Valparaíso,,,,,3.390,https://www.icasas.cl/propiedad/cb18-8900-196b73a-a85bf794b341-7730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.600,4,160,3,Viña del Mar,Valparaíso,,,,True,,https://www.icasas.cl/propiedad/cc78-8422-196b73b-b14238cf2d6-7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.511,,5.800,,Limache,Marga Marga,,,,,5.800,https://www.icasas.cl/propiedad/e63c-bd90-196b73b-f76d9af76425-7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,5.000,,Limache,Marga Marga,,,5.000,,,https://www.icasas.cl/propiedad/9e3-8caf-196b73b-f3c203505ee6-7c46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.900,6,250,6,Puchuncaví,Valparaíso,Sin amueblar,: true,250,True,5.010,https://www.icasas.cl/propiedad/8cdf-bc0d-19421ae-bfa662e6ab17-7128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.028,31",4,100,2,Villa Alemana,Valparaíso,Sin amueblar,,,True,300,https://www.icasas.cl/propiedad/3ab1-a66d-197d3ef-75444890c408-757a,,,,,True,,,,,,True,True,,,,True,,,,True,,,True,,,,,,,,,,,,,,
5.300,,,,Puchuncaví,Valparaíso,,,,,850,https://www.icasas.cl/propiedad/c5d4-a72f-196b73a-9a84dc96f18a-770e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.300,8,516,7,Viña del Mar,Valparaíso,,,,True,3.025,https://www.icasas.cl/propiedad/72a8-8307-19a855c-373e1782d106-7f81,,True,,True,,,,,,,,,,True,True,True,,,True,,,,,,True,,,,,True,,,,,,,
26.500,10,520,4,Valparaíso,Valparaíso,,,,True,800,https://www.icasas.cl/propiedad/43e4-b3fe-19ac84d-8a06aa9888dc-7b4d,,True,,True,,,,,,,,,,True,True,True,,,,,,,,,True,,,,,True,,,,2,,,
