Precio UF,N Habitaciones,N Baños,Comuna,Provincia,Amueblado,Estacionamiento,Año de construcción,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Sauna,Ascensor,Area Construida,Area Terreno,Casa,Terreno,Ratio Hab/Baños
2300.0,3.0,1.0,Quilpué,Valparaíso,Sin amueblar,1,2004.0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,54.0,1,0,3.0
1762.39,2.0,1.0,Otras,San Felipe de Aconcagua,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,2.0
17400.0,4.0,5.0,Puchuncaví,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,213.0,1,0,0.8
15500.0,3.0,3.0,Puchuncaví,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.0,230.0,1,0,1.0
6990.0,3.0,3.0,Otras,San Antonio,,1,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,230.0,200.0,1,0,1.0
3776.54,4.0,3.0,Villa Alemana,Valparaíso,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,105.0,1,0,1.3333333333333333
3570.0,3.0,1.0,Viña del Mar,Valparaíso,Sin amueblar,0,1967.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,89.0,84.0,1,0,3.0
7660.0,6.0,4.0,Viña del Mar,Valparaíso,Sin amueblar,1,1955.0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,400.0,250.0,1,0,1.5
16800.0,7.0,4.0,Viña del Mar,Valparaíso,Sin amueblar,0,,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1060.0,780.0,1,0,1.75
3776.54,6.0,2.0,Otras,San Antonio,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.0,126.0,1,0,3.0
4909.51,4.0,2.0,Villa Alemana,Valparaíso,Sin amueblar,1,1990.0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,320.0,122.0,1,0,2.0
4657.74,3.0,2.0,Puchuncaví,Valparaíso,Sin amueblar,1,2000.0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,300.0,128.0,1,0,1.5
4990.0,2.0,1.0,Zapallar,Petorca,Semi-amueblado,0,2025.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10002.0,100.0,1,0,2.0
7200.0,4.0,2.0,Puchuncaví,Valparaíso,Amueblado,1,2000.0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,300.0,140.0,1,0,2.0
7800.0,2.0,2.0,Puchuncaví,Valparaíso,Amueblado,1,2000.0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,450.0,90.0,1,0,1.0
5960.0,4.0,3.0,Otras,Petorca,Sin amueblar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0,105.0,1,0,1.3333333333333333
